relative_time,AccX,AccY,AccZ
30006,-0.8541314601898193,-8.142680168151855,-1.9788076877593996
30074,-2.283469915390014,-6.572083473205566,-3.6355953216552734
30150,,-7.891288757324219,
30151,-2.182913303375244,,-2.313995838165283
30207,1.8848352432250977,-12.16254425048828,-1.7178397178649902
30273,,-10.508151054382324,
30362,-0.6171054840087891,-7.864952564239502,-2.946065187454224
30406,,-3.612850427627564,
30407,-0.4423287510871887,,1.5502456426620483
30475,-1.4119805097579956,-8.588001251220703,-2.541445016860962
30542,-1.7495628595352173,-15.82567310333252,-0.9876081943511964
30609,3.005321741104126,-16.314090728759766,-0.3890577852725982
30650,-2.015319347381592,-9.619902610778809,-2.026691675186157
30701,,-6.548141479492188,
30702,-1.4766238927841189,,-2.4001872539520264
30739,,-5.580883979797363,
30740,-2.118269920349121,-7.663839817047119,-3.137601375579834
30807,1.1546037197113037,-9.531316757202148,-1.9261353015899656
30899,1.2168530225753784,-12.27267837524414,-2.055422067642212
30940,-1.2826935052871704,-9.222464561462402,-4.0330328941345215
31007,0.261566549539566,-5.389348030090332,-2.060210466384888
31098,1.470638394355774,-2.291250944137573,1.3467384576797483
31150,-3.516483783721924,-16.778566360473633,-4.23893404006958
31206,,-13.0914945602417,
31207,-1.1342530250549316,,0.3579331636428833
31273,4.460996150970459,-14.27662467956543,-1.7274165153503418
31340,,-9.42597198486328,-1.7824832201004028
31341,-3.3895909786224365,,-2.234987258911133
31435,-3.207631826400757,-4.558559894561768,-3.7624878883361816
31473,,-11.26950740814209,
31474,4.001309394836426,,-2.4600422382354736
31540,1.8872294425964355,-10.833763122558594,-2.299630641937256
31633,-1.246780514717102,-10.44350814819336,-3.772064685821533
31694,0.0676361992955207,-3.404554843902588,2.0841526985168457
31740,-2.8197710514068604,-9.761159896850586,-3.867832899093628
31806,,-12.124237060546877,
31807,-3.06876802444458,,-3.8821980953216553
31873,,-13.692439079284668,1.169567584991455
31874,1.7962498664855957,,-1.2964602708816528
31941,-0.1574187576770782,-12.320562362670898,-1.3443442583084106
32006,,-7.417236804962158,
32007,-1.5819687843322754,-6.129156112670898,-0.6835445761680603
32073,,-4.819528102874756,-3.970783472061157
32074,-1.852513551712036,,-2.876633405685425
32151,1.0348936319351196,-14.446613311767578,-2.306813240051269
32163,0.0772130042314529,-9.660603523254396,-2.606088638305664
32250,-0.4614823758602142,-10.189722061157228,-2.5127146244049072
32295,0.7212532758712769,-6.172252178192139,-3.013102769851685
32362,1.7244237661361694,-3.694253206253052,-0.5231330990791321
32448,,-3.519476413726806,
32449,-0.7032967209815979,,1.9093759059906008
32495,-1.9458874464035036,-13.895946502685549,-0.5159504413604736
32562,3.144185304641724,-15.27979564666748,1.902193307876587
32631,-0.5428852438926697,-12.557587623596191,-0.7529764175415039
32650,-1.514931082725525,-6.715735912322998,-2.4456770420074463
32696,-2.185307502746582,-6.028599739074707,-2.615665435791016
32727,,-7.4555439949035645,
32728,-2.498948097229004,-8.860940933227539,-2.1535844802856445
32762,1.856104850769043,-8.14028549194336,-3.556586742401123
32828,,-7.996633529663086,
32829,3.888782024383545,-9.77791976928711,-3.8558619022369385
32895,,-11.12106704711914,
32896,-3.7894227504730233,,-4.610035419464111
32962,,-8.875306129455566,
32963,-1.9434932470321653,,-4.183867454528809
33029,1.3557167053222656,-4.14915132522583,0.0131681095808744
33095,,-7.807491779327393,
33096,-1.9003976583480835,,-2.9077579975128174
33150,-2.848501443862915,-14.626177787780762,-2.5965118408203125
33229,3.7020344734191895,-14.865598678588867,0.9780313968658448
33323,-1.493383288383484,-10.706870079040527,-1.9405004978179927
33422,-3.047220230102539,-4.668693542480469,-2.618059635162353
33495,4.020462989807129,-10.979808807373049,-2.721010208129883
33562,-4.0312371253967285,-11.944672584533691,-4.112041473388672
33629,,-6.114790916442871,
33630,0.019752163439989,-5.31273365020752,-3.264493942260742
33650,1.0085574388504028,-3.584120035171509,0.970848798751831
33695,-0.0927753150463104,-3.078943490982056,1.9955670833587649
33721,-2.824559450149536,-5.700594425201416,-0.4177882075309753
33761,,-13.984532356262209,
33762,-1.4790180921554563,-16.807296752929688,-5.912481307983398
33832,-2.630629062652588,-15.8903169631958,-1.0067617893218994
33896,4.17608642578125,-15.904682159423828,-0.8200140595436096
33963,-1.0648212432861328,-10.632649421691896,-1.677138328552246
34029,,-6.3733649253845215,
34030,-1.206079125404358,,-2.041056871414185
34095,,-6.256049156188965,
34096,-2.498948097229004,-11.975796699523926,-2.864662408828736
34150,,-12.09550666809082,
34151,3.4530375003814697,-11.291055679321287,-2.89339280128479
34229,-2.676118850708008,-9.485827445983888,-2.313995838165283
34296,-0.344166487455368,-8.042123794555664,-3.7169981002807617
34362,-0.5907692909240723,-4.69024133682251,-1.2485761642456057
34429,-0.7655459642410278,-9.311050415039062,-2.191891670227051
34495,,-13.977349281311035,-1.071405291557312
34496,-0.6075286865234375,,1.2485761642456057
34562,3.0867245197296143,-14.595053672790527,-1.648407816886902
34650,-0.619499683380127,-10.450690269470217,-2.9245173931121826
34695,-1.790264368057251,-6.390124320983887,-3.822343111038208
