relative_time,AccX,AccY,AccZ
30018,-1.3952209949493408,-11.750741958618164,-1.6843209266662598
30084,-5.977723121643066,-19.3978214263916,3.5446155071258545
30085,,,3.94444727897644
30175,-10.119691848754885,-18.58379364013672,-2.582146644592285
30218,-4.84287166595459,-8.35336971282959,1.4449007511138916
30284,-3.2746694087982178,,
30285,,-2.233790159225464,1.5167267322540283
30372,-1.7830817699432373,1.1252747774124146,2.98437237739563
30417,-0.6171054840087891,,
30418,-0.2076970040798187,-5.348646640777588,-1.1216834783554075
30485,-2.78625226020813,-15.849615097045898,-6.908469200134277
30551,-3.4398694038391118,-4.867412090301514,-7.756016254425049
30618,-7.325658798217773,-24.92124557495117,-4.327519416809082
30708,1.899200439453125,-7.438784599304199,4.839878559112549
30751,-4.634575843811035,-7.558494567871094,-0.2741360962390899
30820,-3.06876802444458,-7.38132381439209,-0.5063736438751221
30828,-1.1222820281982422,-6.457161903381348,-1.4951789379119873
30927,-0.8325836658477783,-6.514622688293457,-1.8997989892959597
31017,-0.6841431260108948,,
31018,-0.1741781681776046,-7.572859764099121,-1.04028058052063
31085,0.0796072036027908,-8.729259490966797,-2.2685060501098637
31151,-7.933785915374756,-18.81363677978516,-3.044227361679077
31218,-6.16686487197876,-15.301342964172363,1.4712369441986084
31284,-1.0672154426574707,-12.114660263061523,-2.2876596450805664
31352,-2.8365304470062256,-0.0837970599532127,2.850297212600708
31443,-1.8932149410247805,,
31444,,-1.4413094520568848,1.358709454536438
31484,-0.8493430614471436,-17.836803436279297,-10.4542818069458
31551,-4.189254283905029,-7.599195957183838,-6.0417680740356445
31640,-9.774927139282228,,
31641,-10.469245910644531,-12.18409252166748,-4.538209438323975
31740,3.1896753311157227,-3.7158010005950928,9.510966300964355
31819,-4.950610637664795,-6.311115741729736,0.3387795388698578
31885,-2.5971102714538574,-7.29034423828125,-1.4927847385406494
31952,0.4842272996902466,-4.611232280731201,-0.889445960521698
32018,-1.129464626312256,-7.273584842681885,2.4456770420074463
32085,0.6997054219245911,-11.149797439575195,-0.8439561128616333
32176,-3.825335741043091,-8.71489429473877,-2.3977930545806885
32274,-5.585073947906494,,
32275,-6.818088054656982,-19.23741149902344,0.3315969407558441
32351,-6.083067893981934,-9.287108421325684,0.1951274424791336
32418,-2.166153907775879,-4.19224739074707,-0.1041477769613266
32484,-1.2348095178604126,,
32485,-1.2611457109451294,-1.7621324062347412,-0.0466869324445724
32551,-2.4917654991149902,-1.4413094520568848,-1.1767501831054688
32618,-1.955464243888855,-6.452373504638672,-4.480748653411865
32711,-10.18912410736084,-8.877699851989746,-7.9643120765686035
